,Browser,Country,Date Submitted,Device,How did you hear about us?,OS,Source URL,User,Medium,OSGroup
177,Chrome 66.0.3359,Indonesia,2018-05-07 22:45:45,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
178,Chrome 66.0.3359,Indonesia,2018-05-08 13:35:51,desktop,Search Engine,Windows 8.1,https://algorit.ma/,00000000,Search Engine,Windows
179,Chrome 64.0.3282,Indonesia,2018-05-09 02:14:27,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
180,Chrome 66.0.3359,Indonesia,2018-05-09 04:02:58,desktop,Search Engine,Windows 8.1,https://algorit.ma/,00000000,Search Engine,Windows
181,Edge 16.16299,Indonesia,2018-05-09 04:35:07,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
182,Chrome 66.0.3359,Indonesia,2018-05-10 10:45:48,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
183,Chrome 48.0.2540,Indonesia,2018-05-12 15:23:37,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
184,Chrome 66.0.3359,Indonesia,2018-05-14 19:00:22,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
185,Chrome 66.0.3359,Indonesia,2018-05-15 01:52:32,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
186,Chrome 66.0.3359,Indonesia,2018-05-15 10:41:02,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
187,Firefox 59.0,Indonesia,2018-05-16 03:46:52,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
188,Chrome 66.0.3359,Indonesia,2018-05-16 08:26:33,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
189,Chrome 66.0.3359,Indonesia,2018-05-16 13:53:50,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
190,Chrome 66.0.3359,Indonesia,2018-05-17 03:04:53,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
191,Chrome 66.0.3359,Indonesia,2018-05-17 03:53:48,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
192,Chrome 66.0.3359,Indonesia,2018-05-17 05:33:59,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
193,Chrome 66.0.3359,Indonesia,2018-05-18 08:47:00,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
194,Firefox 60.0,Indonesia,2018-05-19 15:58:11,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
195,Firefox 58.0,Indonesia,2018-05-20 10:43:10,desktop,Search Engine,Ubuntu,https://algorit.ma/,00000000,Search Engine,Linux
196,Chrome 64.0.3282,Indonesia,2018-05-20 13:06:43,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
197,Chrome 66.0.3359,,2018-05-21 04:13:31,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
198,Chrome 66.0.3359,Indonesia,2018-05-21 04:37:57,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
199,Chrome 66.0.3359,Indonesia,2018-05-21 04:43:47,desktop,Social Media / Online Ads,Windows 8.1,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
200,Firefox 60.0,Indonesia,2018-05-21 09:16:44,desktop,Search Engine,Ubuntu,https://algorit.ma/,00000000,Search Engine,Linux
201,Chrome 66.0.3359,Indonesia,2018-05-21 11:27:13,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
202,Chrome 66.0.3359,Indonesia,2018-05-22 01:21:08,desktop,Others - kalibrr.com,Windows 10,https://algorit.ma/?user_ref=www.kalibrr.com_organic_job-board__1,00000000,Others ,Windows
203,Firefox 60.0,Indonesia,2018-05-22 05:32:14,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
204,Chrome 66.0.3359,Malaysia,2018-05-22 12:16:29,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
205,Chrome Mobile 56.0.2924,Indonesia,2018-05-22 23:38:40,phone,Others - go-points,Android 5.1.1,https://algorit.ma/,00000000,Others ,Android
206,Chrome 66.0.3359,Indonesia,2018-05-23 10:02:35,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
207,Edge 15.15063,Indonesia,2018-05-23 23:21:21,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
208,Chrome 66.0.3359,Indonesia,2018-05-24 17:44:38,desktop,Social Media / Online Ads,Windows 8.1,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
209,Chrome 66.0.3359,Indonesia,2018-05-25 06:06:12,desktop,Email,Windows 8.1,https://algorit.ma/,00000000,Email,Windows
210,Chrome 66.0.3359,Indonesia,2018-05-25 08:29:43,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
211,Chrome 66.0.3359,Indonesia,2018-05-25 13:10:53,desktop,Others - Startup Career fair post,Windows 8.1,https://algorit.ma/,00000000,Others ,Windows
212,Chrome Mobile 66.0.3359,Indonesia,2018-05-26 08:33:19,phone,Social Media / Online Ads,Android 7.1.2,https://algorit.ma/,00000000,Social Media / Online Ads,Android
213,Chrome 66.0.3359,Indonesia,2018-05-26 12:15:33,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
214,Safari 11.1,Indonesia,2018-05-28 02:55:43,desktop,Social Media / Online Ads,Mac OS X 10.13.4,https://algorit.ma/,00000000,Social Media / Online Ads,Mac
215,Chrome 66.0.3359,Indonesia,2018-05-28 06:48:37,desktop,Media Publishing,Windows 8.1,https://algorit.ma/,00000000,Media Publishing,Windows
216,Chrome 66.0.3359,Indonesia,2018-05-28 07:47:34,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
217,Chrome 66.0.3359,Indonesia,2018-05-28 15:58:13,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
218,Chrome 66.0.3359,Indonesia,2018-05-29 03:49:04,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
219,Chrome 66.0.3359,Indonesia,2018-05-29 14:35:03,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
220,Firefox 60.0,Indonesia,2018-05-30 03:18:01,desktop,Email,Windows 10,https://algorit.ma/,00000000,Email,Windows
221,Chrome 66.0.3359,Indonesia,2018-05-31 03:03:27,desktop,Others - dari orang lewat pake baju algorit.ma,Windows 10,https://algorit.ma/,00000000,Others ,Windows
222,Firefox 60.0,Indonesia,2018-05-31 03:44:41,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
223,Chrome 64.0.3282,Indonesia,2018-05-31 05:49:42,tablet,Social Media / Online Ads,Android 7.0,https://algorit.ma/,00000000,Social Media / Online Ads,Android
224,Firefox 60.0,Indonesia,2018-05-31 06:43:14,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
225,Chrome 66.0.3359,Indonesia,2018-06-03 01:31:30,desktop,Search Engine,Windows 8.1,https://algorit.ma/,00000000,Search Engine,Windows
226,Chrome 66.0.3359,Indonesia,2018-06-05 03:34:01,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
227,Chrome 66.0.3359,Indonesia,2018-06-05 09:37:20,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
228,Firefox 37.0,Indonesia,2018-06-05 09:49:01,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
229,Chrome 67.0.3396,Indonesia,2018-06-08 11:26:43,desktop,Friends / Family - gf,Mac OS X 10.13.5,https://algorit.ma/,00000000,Friends / Family ,Mac
230,Chrome 67.0.3396,Indonesia,2018-06-09 04:17:31,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
231,Chrome 67.0.3396,Indonesia,2018-06-10 15:46:55,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
232,Firefox 60.0,Indonesia,2018-06-11 07:57:13,desktop,Others - techinasia,Windows 8.1,https://algorit.ma/,00000000,Others ,Windows
233,Chrome 67.0.3396,Indonesia,2018-06-12 04:10:15,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
234,Chrome 67.0.3396,Indonesia,2018-06-13 12:37:34,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
235,Chrome 67.0.3396,Indonesia,2018-06-17 19:58:51,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
236,Chrome Mobile 67.0.3396,Indonesia,2018-06-19 05:02:48,phone,Social Media / Online Ads,Android 7.0,https://algorit.ma/,00000000,Social Media / Online Ads,Android
237,Firefox 47.0,Indonesia,2018-06-20 02:52:32,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
238,Safari 11.1.1,Singapore,2018-06-21 06:52:00,desktop,"Others - unbound
",Mac OS X 10.13.5,https://algorit.ma/,00000000,Others ,Mac
239,Chrome 67.0.3396,Netherlands,2018-06-22 08:55:28,desktop,Search Engine,Mac OS X 10.13.5,https://algorit.ma/,00000000,Search Engine,Mac
240,Mobile Safari 11.0,Indonesia,2018-06-22 14:40:20,phone,Friends / Family - from uncle nayoko. ,iOS 11.4,https://algorit.ma/,00000000,Friends / Family ,iOS
241,Opera 53.0.2907,Indonesia,2018-06-23 14:11:43,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
242,Chrome Mobile 56.0.2924,Indonesia,2018-06-23 14:44:19,phone,Social Media / Online Ads,Android 5.1,https://algorit.ma/,00000000,Social Media / Online Ads,Android
243,Chrome Mobile 67.0.3396,Indonesia,2018-06-24 12:06:51,phone,Search Engine,Android 7.0,https://algorit.ma/,00000000,Search Engine,Android
244,Chrome 67.0.3396,Indonesia,2018-06-25 03:14:14,desktop,Social Media / Online Ads,Windows 8,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
245,Chromium 66.0.3359,Indonesia,2018-06-25 05:43:25,desktop,Social Media / Online Ads,Ubuntu,https://algorit.ma/,00000000,Social Media / Online Ads,Linux
246,Chrome 56.0.2924,Indonesia,2018-06-25 06:51:44,desktop,Search Engine,Linux,https://algorit.ma/,00000000,Search Engine,Linux
247,Chrome 67.0.3396,Indonesia,2018-06-26 07:32:14,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
248,Chrome 66.0.3359,Indonesia,2018-06-26 08:14:10,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
249,Chrome 49.0.2623,Indonesia,2018-06-26 18:41:30,desktop,Social Media / Online Ads,Mac OS X 10.6.8,https://algorit.ma/,00000000,Social Media / Online Ads,Mac
250,Chrome 67.0.3396,Indonesia,2018-06-26 23:09:34,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
251,Firefox 61.0,Indonesia,2018-06-28 08:12:17,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
252,Chrome 67.0.3396,Indonesia,2018-06-28 15:49:25,desktop,Media Publishing,Windows 8,https://algorit.ma/,00000000,Media Publishing,Windows
253,Chrome 68.0.3440,Indonesia,2018-06-29 07:55:20,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
254,Chrome 67.0.3396,Indonesia,2018-06-29 08:04:58,desktop,"Others - urbanhire
",Windows 10,https://algorit.ma/,00000000,Others ,Windows
255,Chrome 67.0.3396,Indonesia,2018-06-30 02:33:13,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
256,Chrome 67.0.3396,Indonesia,2018-06-30 07:30:04,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
257,Chromium 66.0.3359,Indonesia,2018-06-30 13:01:57,desktop,Social Media / Online Ads,Ubuntu,https://algorit.ma/,00000000,Social Media / Online Ads,Linux
258,Chrome 67.0.3396,Indonesia,2018-06-30 13:57:09,desktop,Others - Web,Windows 8.1,https://algorit.ma/?utm_source=Forum&utm_medium=sekolahkoding,00000000,Others ,Windows
259,Chrome 67.0.3396,Indonesia,2018-06-30 17:00:35,desktop,Others - GO-JEK,Windows 10,https://algorit.ma/,00000000,Others ,Windows
260,Chrome 67.0.3396,Indonesia,2018-06-30 17:30:22,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
261,Chrome 67.0.3396,Indonesia,2018-07-02 02:31:19,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
262,Chrome 67.0.3396,United States,2018-07-02 04:24:29,desktop,Others - Gojek Apps,Windows 10,https://algorit.ma/,00000000,Others ,Windows
263,Chrome 67.0.3396,Indonesia,2018-07-02 06:23:22,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
264,Chrome 67.0.3396,Indonesia,2018-07-02 11:26:43,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
265,Chrome 67.0.3396,Indonesia,2018-07-02 14:06:55,desktop,Others - seminar,Windows 8.1,https://algorit.ma/,00000000,Others ,Windows
266,Chrome 67.0.3396,Indonesia,2018-07-02 15:16:50,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
267,Chrome 67.0.3396,Indonesia,2018-07-03 02:11:56,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
268,Chrome 67.0.3396,Indonesia,2018-07-03 02:41:15,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
269,Chrome 67.0.3396,Malaysia,2018-07-03 08:09:57,desktop,Media Publishing,Mac OS X 10.13.3,https://algorit.ma/,00000000,Media Publishing,Mac
270,Chrome 67.0.3396,Indonesia,2018-07-03 10:17:15,desktop,Others - GOJEK ,Windows 10,https://algorit.ma/,00000000,Others ,Windows
271,Chrome Mobile 67.0.3396,Indonesia,2018-07-04 06:11:29,phone,Social Media / Online Ads,Android 6.0.1,https://algorit.ma/?user_ref=www.kalibrr.id_organic_login,00000000,Social Media / Online Ads,Android
272,Chrome 67.0.3396,Indonesia,2018-07-06 01:53:51,desktop,Email,Mac OS X 10.13.0,https://algorit.ma/,00000000,Email,Mac
273,Chrome 67.0.3396,Indonesia,2018-07-06 02:26:29,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
274,Chrome 67.0.3396,Indonesia,2018-07-06 16:31:58,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
275,Chrome 67.0.3396,Indonesia,2018-07-07 18:10:33,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
276,Chrome 67.0.3396,Indonesia,2018-07-08 13:39:08,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
277,Chrome 67.0.3396,Indonesia,2018-07-09 03:09:37,desktop,"Others - internet
",Windows 10,https://algorit.ma/,00000000,Others ,Windows
278,Chrome 67.0.3396,Indonesia,2018-07-09 12:11:42,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
279,Chrome 67.0.3396,Japan,2018-07-10 08:51:51,desktop,Search Engine,Windows 8.1,https://algorit.ma/,00000000,Search Engine,Windows
280,Chrome 65.0.3325,Indonesia,2018-07-13 06:47:29,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
281,Chrome 67.0.3396,Indonesia,2018-07-13 10:51:02,desktop,Others - youtube,Windows 10,https://algorit.ma/,00000000,Others ,Windows
282,Chrome 67.0.3396,Indonesia,2018-07-13 15:24:32,desktop,Others - seminar,Windows 10,https://algorit.ma/,00000000,Others ,Windows
283,Chrome 67.0.3396,Indonesia,2018-07-15 12:08:13,desktop,Others - Youtube,Mac OS X 10.12.6,https://algorit.ma/,00000000,Others ,Mac
284,Chrome 67.0.3396,Indonesia,2018-07-16 08:53:27,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
285,Chrome 67.0.3396,Indonesia,2018-07-17 02:49:41,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
286,Chrome 67.0.3396,Indonesia,2018-07-17 07:28:58,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/?user_ref=www.kalibrr.id_organic_job-board__te__management-trainee__5,00000000,Social Media / Online Ads,Windows
287,Edge 15.15063,Indonesia,2018-07-17 09:20:07,desktop,Others - someone tell me,Windows 10,https://algorit.ma/,00000000,Others ,Windows
288,Chrome 67.0.3396,Indonesia,2018-07-17 11:24:49,desktop,Search Engine,Windows 10,https://algorit.ma/?user_ref=recruitment.bni.co.id_organic_index.php__artikel__detail__odp,00000000,Search Engine,Windows
289,Chrome 67.0.3396,Indonesia,2018-07-18 05:58:01,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
290,Chrome 67.0.3396,Indonesia,2018-07-18 16:56:31,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
291,Chrome Mobile 67.0.3396,Indonesia,2018-07-19 14:09:23,phone,Social Media / Online Ads,Android 7.1.2,https://algorit.ma/,00000000,Social Media / Online Ads,Android
292,Chrome 67.0.3396,Indonesia,2018-07-20 02:17:45,desktop,Search Engine,Mac OS X 10.10.5,https://algorit.ma/,00000000,Search Engine,Mac
293,Chrome 67.0.3396,Indonesia,2018-07-20 03:31:51,desktop,Social Media / Online Ads,Mac OS X 10.10.1,https://algorit.ma/,00000000,Social Media / Online Ads,Mac
294,Opera 54.0.2952,Indonesia,2018-07-21 04:01:02,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
295,Chrome 67.0.3396,Indonesia,2018-07-21 17:12:28,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
296,Firefox 61.0,Indonesia,2018-07-23 07:57:18,desktop,Social Media / Online Ads,Windows 8.1,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
297,Chrome 67.0.3396,Indonesia,2018-07-23 13:22:01,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
298,Firefox 61.0,Indonesia,2018-07-24 01:09:30,desktop,Others - google,Windows 7,https://algorit.ma/,00000000,Others ,Windows
299,Chrome 67.0.3396,Indonesia,2018-07-24 04:14:09,desktop,Friends / Family - Sam!,Mac OS X 10.13.5,https://algorit.ma/,00000000,Friends / Family ,Mac
300,Chrome 67.0.3396,Indonesia,2018-07-24 12:40:47,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
301,Chrome 67.0.3396,Indonesia,2018-07-25 02:22:25,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
302,Firefox 61.0,Indonesia,2018-07-25 07:02:06,desktop,Others - workshop,Windows 7,https://algorit.ma/,00000000,Others ,Windows
303,Chrome 43.0.2357,Indonesia,2018-07-26 14:08:28,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
304,Chrome 67.0.3396,Malaysia,2018-07-27 17:41:28,desktop,Friends / Family - Zoe Lee,Windows 8.1,https://algorit.ma/,00000000,Friends / Family ,Windows
305,Chrome 67.0.3396,Indonesia,2018-07-28 08:57:17,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
306,Firefox 39.0,Indonesia,2018-07-29 07:58:00,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
307,Mobile Safari 11.0,Indonesia,2018-07-29 13:17:22,phone,Media Publishing,iOS 11.2.5,https://algorit.ma/,00000000,Media Publishing,iOS
308,Firefox 61.0,Indonesia,2018-07-29 17:23:00,desktop,Search Engine,Mac OS X 10.13,https://algorit.ma/,00000000,Search Engine,Mac
309,Opera 54.0.2952,Indonesia,2018-07-30 10:27:38,desktop,Others - ADSvokat.com blog,Windows 10,https://algorit.ma/,00000000,Others ,Windows
310,Firefox 43.0,Indonesia,2018-07-31 05:05:10,desktop,Email,Windows 7,https://algorit.ma/,00000000,Email,Windows
311,Chrome 67.0.3396,Indonesia,2018-07-31 08:23:42,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
312,Chrome 67.0.3396,Indonesia,2018-08-01 02:18:46,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
313,Chrome 67.0.3396,Indonesia,2018-08-01 03:35:51,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
314,Firefox 57.0,Indonesia,2018-08-01 07:29:42,desktop,Media Publishing,Ubuntu,https://algorit.ma/,00000000,Media Publishing,Linux
315,Chrome 68.0.3440,Indonesia,2018-08-01 08:58:33,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
316,Chrome 66.0.3359,Indonesia,2018-08-04 07:18:51,desktop,Search Engine,Mac OS X 10.10.5,https://algorit.ma/,00000000,Search Engine,Mac
317,Opera 54.0.2952,Indonesia,2018-08-04 14:37:52,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
318,Chrome 67.0.3396,Indonesia,2018-08-05 10:26:03,desktop,Media Publishing,Windows 8.1,https://algorit.ma/,00000000,Media Publishing,Windows
319,Chrome 65.0.3325,Indonesia,2018-08-05 14:01:30,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
320,Chrome 67.0.3396,Indonesia,2018-08-06 01:24:10,desktop,Friends / Family - a friend who work in algoritma,Windows 10,https://algorit.ma/,00000000,Friends / Family ,Windows
321,Chrome 67.0.3396,Indonesia,2018-08-06 01:45:11,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
322,Opera 54.0.2952,Bangladesh,2018-08-07 03:16:53,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
323,Chrome 68.0.3440,Indonesia,2018-08-08 03:28:41,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
324,Chrome 67.0.3396,Lithuania,2018-08-09 10:08:11,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
325,Chrome 68.0.3440,Indonesia,2018-08-10 02:17:21,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
326,Opera 54.0.2952,Indonesia,2018-08-11 08:39:40,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
327,Chrome 68.0.3440,Indonesia,2018-08-12 01:17:43,desktop,Social Media / Online Ads,Mac OS X 10.11.4,https://algorit.ma/,00000000,Social Media / Online Ads,Mac
328,Chrome 68.0.3440,Indonesia,2018-08-13 03:28:01,desktop,Others - Gojek,Windows 10,https://algorit.ma/,00000000,Others ,Windows
329,Chrome 68.0.3440,Indonesia,2018-08-13 04:13:37,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
330,Chrome 68.0.3440,Indonesia,2018-08-13 21:43:31,desktop,Media Publishing,Linux,https://algorit.ma/,00000000,Media Publishing,Linux
331,Chrome Mobile 68.0.3440,Indonesia,2018-08-14 17:22:40,phone,Friends / Family - Friends. Student of unikom jogja,Android 7.0,https://algorit.ma/,00000000,Friends / Family ,Android
332,Chrome 68.0.3440,Indonesia,2018-08-14 19:01:20,desktop,Friends / Family - sofyan,Windows 10,https://algorit.ma/,00000000,Friends / Family ,Windows
333,Firefox 61.0,Indonesia,2018-08-15 02:02:54,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
334,Chrome 68.0.3440,Indonesia,2018-08-15 08:40:29,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
335,Chrome 68.0.3440,Indonesia,2018-08-15 08:58:23,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
336,Chrome 68.0.3440,Indonesia,2018-08-15 11:36:32,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
337,Chrome 68.0.3440,Indonesia,2018-08-15 23:54:44,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
338,Firefox 62.0,Indonesia,2018-08-16 01:30:23,desktop,Others - Saya nyari sendiri,Windows 10,https://algorit.ma/,00000000,Others ,Windows
339,Firefox 58.0,Indonesia,2018-08-16 11:23:46,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
340,Chrome 67.0.3396,Indonesia,2018-08-17 07:25:56,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
341,Chrome 68.0.3440,Indonesia,2018-08-18 06:12:13,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
342,Chrome 68.0.3440,Indonesia,2018-08-18 09:05:05,desktop,Others - koinworks,Windows 7,https://algorit.ma/,00000000,Others ,Windows
343,Chrome 68.0.3440,Indonesia,2018-08-18 10:43:11,desktop,Media Publishing,Windows 7,https://algorit.ma/?user_ref=www.kalibrr.id_organic_job-board__1,00000000,Media Publishing,Windows
344,Vivaldi 1.96.1147,Indonesia,2018-08-18 19:17:54,desktop,Others - https://koinworks.com/id/pinjaman/dana-pendidikan#it,Windows 8.1,https://algorit.ma/,00000000,Others ,Windows
345,Firefox 61.0,Indonesia,2018-08-19 06:28:58,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
346,Chrome 68.0.3440,Indonesia,2018-08-19 15:26:19,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
347,Firefox 61.0,Indonesia,2018-08-20 02:32:13,desktop,Search Engine,Windows 8.1,https://algorit.ma/,00000000,Search Engine,Windows
348,Firefox 61.0,Indonesia,2018-08-20 07:26:33,desktop,Media Publishing,Windows 8.1,https://algorit.ma/,00000000,Media Publishing,Windows
349,Chrome 68.0.3440,Indonesia,2018-08-21 09:23:14,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
350,Firefox 62.0,Indonesia,2018-08-21 18:55:27,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
351,Chrome 68.0.3440,Indonesia,2018-08-22 05:08:08,desktop,Media Publishing,Mac OS X 10.11.0,https://algorit.ma/,00000000,Media Publishing,Mac
352,Chrome 68.0.3440,Indonesia,2018-08-22 22:10:19,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
353,Chrome 68.0.3440,Indonesia,2018-08-23 01:24:11,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
354,Chrome 68.0.3440,Indonesia,2018-08-23 07:01:19,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
355,Firefox 61.0,Indonesia,2018-08-24 16:17:30,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
